image;true_plate;pred_plate;similarity;match
1755800220_0.9_(48, 104, 3)_BYJ-567.jpg;BYJ-567;BYJ-567;1.0;✅
1755800225_0.91_(44, 95, 3)_V71-023.jpg;V71-023;V71-023;1.0;✅
1755800256_0.9_(49, 104, 3)_Z4X-018.jpg;Z4X-018;Z4X-018;1.0;✅
1755800279_0.93_(64, 113, 3)_A8D-757.jpg;A8D-757;A8D-757;1.0;✅
1755800317_0.9_(45, 93, 3)_VAJ-632.jpg;VAJ-632;VAJ-632;1.0;✅
1755800323_0.9_(52, 105, 3)_CRO-577.jpg;CRO-577;CRO-577;1.0;✅
1755800341_0.9_(44, 91, 3)_V8U-524.jpg;V8U-524;V8U-524;1.0;✅
1755800344_0.91_(47, 96, 3)_Z7U-204.jpg;Z7U-204;Z7U-204;1.0;✅
1755800351_0.91_(47, 93, 3)_BSV-176.jpg;BSV-176;BSV-176;1.0;✅
1755800370_0.91_(52, 105, 3)_Z7P-666.jpg;Z7P-666;Z7P-666;1.0;✅
1755800418_0.9_(53, 106, 3)_Z6A-203.jpg;Z6A-203;Z6A-203;1.0;✅
1755800425_0.9_(58, 119, 3)_B3W-759.jpg;B3W-759;B3W-759;1.0;✅
1755800437_0.9_(60, 107, 3)_Z5B-752.jpg;Z5B-752;Z5B-752;1.0;✅
1755800446_0.9_(49, 100, 3)_Z8Y-837.jpg;Z8Y-837;Z8Y-837;1.0;✅
1755800450_0.9_(48, 96, 3)_Z7V-290.jpg;Z7V-290;Z7V-290;1.0;✅
1755800459_0.9_(46, 92, 3)_Z6S-279.jpg;Z6S-279;Z6S-279;1.0;✅
1755800467_0.91_(58, 105, 3)_B1B-164.jpg;B1B-164;B1B-164;1.0;✅
1755800525_0.91_(45, 92, 3)_V9W-422.jpg;V9W-422;V9W-422;1.0;✅
1755800555_0.9_(44, 90, 3)_V8M-368.jpg;V8M-368;V8M-368;1.0;✅
1755800589_0.9_(46, 98, 3)_A8D-757.jpg;A8D-757;A8D-757;1.0;✅
1755800590_0.9_(54, 109, 3)_A80-757.jpg;A8D-757;A8D-757;1.0;✅
1755800700_0.91_(48, 100, 3)_Z5Q-106.jpg;Z5Q-106;Z5Q-106;1.0;✅
1755800790_0.9_(43, 90, 3)_X4N-230.jpg;X4N-230;X4N-230;1.0;✅
1755800793_0.91_(46, 92, 3)_V1I-104.jpg;V1I-104;V1I-104;1.0;✅
1755800797_0.9_(52, 103, 3)_AUU-101.jpg;AUU-101;AUU-101;1.0;✅
1755800807_0.9_(50, 104, 3)_X20-934.jpg;X2O-934;X20-934;0.857;❌
1755800880_0.9_(44, 92, 3)_V31-163.jpg;V3I-163;V31-163;0.857;❌
1755800883_0.9_(54, 104, 3)_Z6L-717.jpg;Z6U-717;Z6L-717;0.857;❌
1755800887_0.9_(47, 97, 3)_Z7K-549.jpg;Z7K-549;Z7K-549;1.0;✅
1755800893_0.9_(71, 106, 3)_Y3Q-595.jpg;Y3Q-595;Y3Q-595;1.0;✅
1755800912_0.9_(41, 96, 3)_F51-233.jpg;F5I-233;F51-233;0.857;❌
1755800941_0.9_(50, 100, 3)_B1N-742.jpg;B1N-742;B1N-742;1.0;✅
1755800975_0.91_(58, 106, 3)_V7R-826.jpg;V7R-826;V7R-826;1.0;✅
1755800978_0.91_(47, 96, 3)_Z4Q-197.jpg;Z4Q-197;Z4Q-197;1.0;✅
1755801015_0.9_(48, 98, 3)_Z5G-496.jpg;Z5G-496;Z5G-496;1.0;✅
1755801088_0.9_(50, 109, 3)_Z5T-282.jpg;Z5T-282;Z5T-282;1.0;✅
1755801091_0.91_(46, 101, 3)_Z5V-445.jpg;Z5V-445;Z5V-445;1.0;✅
1755801123_0.9_(52, 100, 3)_W1A-763.jpg;W1A-763;W1A-763;1.0;✅
1755801131_0.9_(56, 113, 3)_A9K-715.jpg;A9K-715;A9K-715;1.0;✅
1755801139_0.9_(47, 97, 3)_CBM-487.jpg;CBM-487;CBM-487;1.0;✅
1755801176_0.9_(50, 108, 3)_Z2G-146.jpg;Z2G-146;Z2G-146;1.0;✅
1755801183_0.9_(61, 112, 3)_Z2N-051.jpg;Z2N-051;Z2N-051;1.0;✅
1755801190_0.9_(46, 98, 3)_V9K-468.jpg;V9K-468;V9K-468;1.0;✅
1755801207_0.91_(48, 101, 3)_Z3P-791.jpg;Z3P-791;Z3P-791;1.0;✅
1755801210_0.9_(49, 104, 3)_X3A-006.jpg;X3A-006;X3A-006;1.0;✅
1755801223_0.91_(51, 101, 3)_Z8B-641.jpg;Z8B-641;Z8B-641;1.0;✅
1755801236_0.9_(48, 97, 3)_X1J-790.jpg;X1J-790;X1J-790;1.0;✅
1755801286_0.9_(71, 116, 3)_F7F-087.jpg;F7F-087;F7F-087;1.0;✅
1755801294_0.91_(52, 106, 3)_A5G-752.jpg;A5G-752;A5G-752;1.0;✅
1755801305_0.91_(48, 98, 3)_Z8U-888.jpg;Z8U-888;Z8U-888;1.0;✅
1755801306_0.91_(47, 102, 3)_Z8L-888.jpg;Z8U-888;Z8U-888;1.0;✅
1755801314_0.91_(50, 103, 3)_AUJ-187.jpg;AUJ-187;AUJ-182;0.857;❌
1755801315_0.9_(57, 110, 3)_AUJ-182.jpg;AUJ-182;AUJ-182;1.0;✅
1755801327_0.91_(49, 100, 3)_Z6X-411.jpg;Z6X-411;Z6X-411;1.0;✅
1755801335_0.9_(62, 110, 3)_V71-023.jpg;V7I-023;V71-023;0.857;❌
1755801348_0.9_(50, 97, 3)_X1S-070.jpg;X1S-070;X1S-070;1.0;✅
1755801389_0.91_(45, 93, 3)_VDS-785.jpg;VDS-785;VDS-785;1.0;✅
1755801392_0.91_(54, 107, 3)_Z7M-355.jpg;Z7M-355;Z7M-355;1.0;✅
1755801403_0.91_(54, 106, 3)_Z8B-617.jpg;Z8B-617;Z8B-617;1.0;✅
1755801417_0.91_(51, 103, 3)_D7W-870.jpg;D7W-870;D7W-870;1.0;✅
1755801418_0.9_(57, 108, 3)_07W-870.jpg;D7W-870;D7W-870;1.0;✅
1755801426_0.9_(50, 102, 3)_W1A-763.jpg;W1A-763;W1A-763;1.0;✅
1755801434_0.91_(63, 120, 3)_A9K-715.jpg;A9K-715;A9K-715;1.0;✅
1755801483_0.91_(50, 100, 3)_X4H-470.jpg;X4W-470;X4H-470;0.857;❌
1755801491_0.91_(47, 94, 3)_VCS-856.jpg;VCS-856;VCS-856;1.0;✅
1755801494_0.91_(48, 101, 3)_BCF-122.jpg;BCF-122;BCF-122;1.0;✅
1755801529_0.9_(55, 104, 3)_Z5K-681.jpg;Z5K-681;Z5K-681;1.0;✅
1755801534_0.91_(60, 117, 3)_Z2G-323.jpg;Z2G-323;Z2G-323;1.0;✅
1755801565_0.91_(64, 115, 3)_Z5Q-118.jpg;Z5Q-118;Z5Q-118;1.0;✅
1755801570_0.9_(48, 97, 3)_X1J-790.jpg;X1J-790;X1J-790;1.0;✅
1755801578_0.9_(46, 94, 3)_VAN-508.jpg;VAN-508;VAN-508;1.0;✅
1755801584_0.9_(48, 99, 3)_CHH-339.jpg;CHW-339;CHH-339;0.857;❌
1755801586_0.9_(53, 100, 3)_Z6M-106.jpg;Z6M-106;Z6M-106;1.0;✅
1755801598_0.92_(53, 108, 3)_A5G-752.jpg;A5G-752;A5G-752;1.0;✅
1755801647_0.92_(59, 102, 3)_Z7U-204.jpg;Z7U-204;Z7U-204;1.0;✅
1755801654_0.9_(49, 99, 3)_Z5G-467.jpg;Z5G-467;Z5G-467;1.0;✅
1755801662_0.91_(73, 117, 3)_598-655.jpg;F9B-655;598-655;0.714;❌
1755801663_0.9_(44, 89, 3)_71C-465.jpg;71C-465;Z1C-465;0.857;❌
1755801690_0.9_(41, 89, 3)_AXF-317.jpg;AXF-317;AXF-317;1.0;✅
1755801695_0.9_(46, 96, 3)_X1Q-323.jpg;X1Q-323;X1Q-323;1.0;✅
1755801744_0.9_(66, 118, 3)_Z20-326.jpg;Z20-326;Z20-326;1.0;✅
1755801790_0.91_(49, 103, 3)_Z6C-695.jpg;Z6C-695;Z6C-695;1.0;✅
1755801795_0.91_(46, 94, 3)_Z3F-113.jpg;Z3F-113;Z3F-113;1.0;✅
1755801798_0.92_(53, 103, 3)_Z6K-059.jpg;Z6K-059;Z6K-059;1.0;✅
1755801801_0.91_(46, 97, 3)_D70-364.jpg;D7O-364;D70-364;0.857;❌
1755801812_0.91_(49, 101, 3)_Z7V-467.jpg;Z7V-467;Z7V-467;1.0;✅
1755801843_0.91_(49, 100, 3)_Z7S-416.jpg;Z7S-416;Z7S-416;1.0;✅
1755801846_0.9_(49, 95, 3)_F4B-067.jpg;F4B-067;F4B-067;1.0;✅
1755801849_0.91_(53, 105, 3)_Z3V-367.jpg;Z3V-367;Z3V-367;1.0;✅
1755801852_0.9_(52, 97, 3)_V71-420.jpg;V71-420;V71-420;1.0;✅
1755801939_0.9_(48, 90, 3)_AYJ-561.jpg;AYJ-561;AYJ-561;1.0;✅
1755802000_0.91_(48, 101, 3)_AMO-819.jpg;AMO-819;AMO-819;1.0;✅
1755802022_0.9_(53, 103, 3)_B1B-734.jpg;B1B-734;B1B-734;1.0;✅
1755802033_0.91_(56, 107, 3)_CKS-489.jpg;CKS-489;CKS-489;1.0;✅
1755802038_0.9_(54, 103, 3)_C3S-449.jpg;C3S-449;C3S-449;1.0;✅
1755802073_0.91_(54, 106, 3)_Z7C-049.jpg;Z7C-049;Z7C-049;1.0;✅
1755802099_0.91_(54, 108, 3)_Z6B-834.jpg;Z6B-834;Z6B-834;1.0;✅
1755802124_0.9_(60, 112, 3)_X3T-626.jpg;X3T-626;X3T-626;1.0;✅
1755802133_0.91_(49, 97, 3)_VCF-677.jpg;VCF-677;VCF-677;1.0;✅
1755802142_0.9_(50, 100, 3)_D1I-153.jpg;D1I-153;D1I-153;1.0;✅
1755802147_0.91_(46, 90, 3)_VBI-497.jpg;VBI-497;VBI-497;1.0;✅
1755802161_0.91_(50, 99, 3)_V9N-697.jpg;V9N-697;V9N-697;1.0;✅
1755802166_0.9_(45, 102, 3)_V2N-829.jpg;V2N-829;V2N-829;1.0;✅
1755802269_0.91_(45, 93, 3)_ARE-297.jpg;ARE-297;ARE-297;1.0;✅
1755802328_0.9_(49, 98, 3)_Z7N-143.jpg;Z7N-143;Z7N-143;1.0;✅
1755802353_0.9_(62, 107, 3)_AAO-576.jpg;AAO-576;AAO-576;1.0;✅
1755802410_0.91_(48, 95, 3)_BTB-292.jpg;BTB-292;BTB-292;1.0;✅
1755802415_0.91_(44, 95, 3)_Z7Y-245.jpg;Z7Y-245;Z7Y-245;1.0;✅
1755802418_0.9_(50, 104, 3)_BPW-164.jpg;BPW-164;BPW-164;1.0;✅
1755802421_0.91_(47, 92, 3)_BXI-161.jpg;BXI-161;BXI-161;1.0;✅
1755802433_0.9_(50, 98, 3)_V6Y-151.jpg;V6Y-151;V6Y-151;1.0;✅
1755802437_0.92_(48, 98, 3)_Z6Y-080.jpg;Z6Y-080;Z6Y-080;1.0;✅
1755802496_0.91_(42, 90, 3)_Z5D-490.jpg;Z5D-490;Z5D-490;1.0;✅
1755802534_0.9_(41, 91, 3)_V4E-442.jpg;V4E-442;V4E-442;1.0;✅
1755802585_0.91_(42, 94, 3)_VBX-425.jpg;VBX-425;VBX-425;1.0;✅
1755802589_0.9_(48, 98, 3)_Z4Q-264.jpg;Z4Q-264;Z4Q-264;1.0;✅
1755802592_0.91_(48, 98, 3)_BKQ-659.jpg;BKQ-659;BKQ-659;1.0;✅
1755802597_0.9_(48, 98, 3)_S1B-589.jpg;S1B-589;S1B-589;1.0;✅
1755802608_0.91_(49, 97, 3)_BKM-032.jpg;BKM-032;BKM-032;1.0;✅
1755802629_0.9_(50, 106, 3)_AFL-039.jpg;AFL-039;AFL-039;1.0;✅
1755802632_0.9_(47, 101, 3)_Z7F-326.jpg;Z7F-326;Z7F-326;1.0;✅
1755802646_0.9_(65, 114, 3)_CJS-468.jpg;CJS-468;CJS-468;1.0;✅
1755802650_0.9_(58, 114, 3)_A2E-705.jpg;A2E-705;A2E-705;1.0;✅
1755802708_0.9_(52, 102, 3)_BHG-267.jpg;BHG-267;BHG-267;1.0;✅
1755802716_0.91_(47, 95, 3)_V4L-658.jpg;V4L-658;V4L-658;1.0;✅
1755802759_0.91_(54, 107, 3)_Z8V-787.jpg;Z8V-787;Z8V-787;1.0;✅
1755802859_0.9_(50, 97, 3)_Z3P-000.jpg;Z3P-000;Z3P-000;1.0;✅
1755802962_0.91_(63, 114, 3)_Z6D-367.jpg;Z6D-367;Z6D-367;1.0;✅
1755803016_0.9_(43, 91, 3)_V6J-526.jpg;V6J-526;V6J-526;1.0;✅
1755803044_0.9_(63, 111, 3)_Z6U-717.jpg;Z6U-717;Z6U-717;1.0;✅
1755803089_0.9_(49, 97, 3)_Z7N-143.jpg;Z7N-143;Z7N-143;1.0;✅
1755803106_0.9_(58, 113, 3)_Z7W-178.jpg;Z7W-178;Z7W-178;1.0;✅
1755803124_0.9_(46, 92, 3)_Z1E-728.jpg;Z1E-728;Z1E-728;1.0;✅
1755803163_0.9_(54, 107, 3)_V1H-723.jpg;V1H-723;1H-723;0.923;❌
1755803168_0.91_(53, 106, 3)_Z4Y-573.jpg;Z4Y-573;Z4Y-573;1.0;✅
1755803170_0.9_(45, 89, 3)_X3T-194.jpg;X3T-194;X3T-194;1.0;✅
1755803288_0.91_(47, 96, 3)_ASJ-523.jpg;ASJ-523;ASJ-523;1.0;✅
1755803327_0.9_(50, 100, 3)_X3E-141.jpg;X3E-141;X3E-141;1.0;✅
1755803417_0.9_(46, 96, 3)_Z1E-728.jpg;Z1E-728;Z1E-728;1.0;✅
1755803618_0.9_(61, 105, 3)_CEX-325.jpg;CEX-325;CEX-325;1.0;✅
1755803678_0.9_(46, 103, 3)_V1W-327.jpg;V1W-327;V1W-327;1.0;✅
1755803683_0.9_(59, 118, 3)_Z5D-845.jpg;Z5D-845;Z5D-845;1.0;✅
1755803692_0.9_(60, 105, 3)_BBT-930.jpg;BBT-930;BBT-930;1.0;✅
1755803697_0.9_(67, 126, 3)_Z2E-770.jpg;Z2E-770;Z2E-770;1.0;✅
1755803736_0.9_(50, 103, 3)_BTQ-272.jpg;BTQ-272;BTQ-272;1.0;✅
1755803790_0.9_(66, 113, 3)_Z3J-707.jpg;Z3J-707;Z3J-707;1.0;✅
1755803875_0.91_(47, 102, 3)_ANJ-150.jpg;ANJ-150;ANJ-150;1.0;✅
1755803886_0.9_(45, 94, 3)_Z7X-826.jpg;Z7X-826;Z7X-826;1.0;✅
1755803979_0.9_(45, 90, 3)_BVH-663.jpg;BVH-663;BVH-663;1.0;✅
1755803979_0.9_(48, 97, 3)_8VH-663.jpg;8VH-663;VH-663;0.923;❌
1755803985_0.9_(127, 139, 3)_L2E-770.jpg;Z2E-770;L2E-770;0.857;❌
1755804033_0.91_(51, 96, 3)_V4E-661.jpg;V4E-661;V4E-661;1.0;✅
1755804052_0.9_(54, 101, 3)_AUU-101.jpg;AUU-101;AUU-101;1.0;✅
1755804067_0.91_(63, 110, 3)_Z7G-042.jpg;Z7G-042;Z7G-042;1.0;✅
1755804076_0.9_(51, 103, 3)_BJG-541.jpg;BJG-541;BJG-541;1.0;✅
1755804125_0.91_(48, 101, 3)_Z3J-707.jpg;Z3J-707;Z3J-707;1.0;✅
1755804178_0.91_(38, 89, 3)_AYH-261.jpg;AYH-261;AYH-261;1.0;✅
1755804192_0.9_(65, 116, 3)_V7C-801.jpg;V7C-801;V7C-801;1.0;✅
1755804243_0.9_(49, 94, 3)_Z7Y-445.jpg;Z7Y-445;Z7Y-445;1.0;✅
1755804326_0.9_(47, 98, 3)_CO1-165.jpg;C0I-165;CO1-165;0.714;❌
1755804330_0.91_(51, 102, 3)_Z8S-813.jpg;Z8S-813;Z8S-813;1.0;✅
1755804345_0.91_(46, 94, 3)_BLH-257.jpg;BLH-257;BLH-257;1.0;✅
1755804371_0.9_(54, 113, 3)_V6E-258.jpg;V6E-258;V6E-258;1.0;✅
1755804443_0.91_(49, 96, 3)_Z51-510.jpg;Z51-510;Z51-510;1.0;✅
1755804512_0.91_(39, 91, 3)_Z7T-469.jpg;Z7T-469;Z7T-469;1.0;✅
1755804516_0.92_(61, 118, 3)_Z1A-640.jpg;Z1A-640;Z1A-640;1.0;✅
1755805016_0.9_(49, 97, 3)_BWS-056.jpg;BWS-056;BWS-056;1.0;✅
1755805048_0.9_(50, 96, 3)_VCL-405.jpg;VCL-405;VCL-405;1.0;✅
1755805055_0.9_(53, 104, 3)_Z7W-234.jpg;Z7W-234;Z7H-234;0.857;❌
1755805151_0.91_(50, 101, 3)_Z7W-377.jpg;Z7W-377;Z7W-377;1.0;✅
1755805212_0.91_(52, 105, 3)_Z7F-518.jpg;Z7F-518;Z7F-518;1.0;✅
1755805218_0.9_(41, 88, 3)_Z7H-064.jpg;Z7H-064;Z7H-064;1.0;✅
1755805271_0.9_(64, 111, 3)_Z1V-042.jpg;Z1V-042;Z1V-042;1.0;✅
1755805284_0.91_(52, 101, 3)_VAB-735.jpg;VAB-735;VAB-735;1.0;✅
1755805378_0.9_(47, 101, 3)_Z6E-393.jpg;Z6E-393;Z6E-393;1.0;✅
1755805538_0.9_(47, 98, 3)_Z7G-017.jpg;Z7G-017;Z7G-017;1.0;✅
1755805684_0.9_(48, 99, 3)_VCS-186.jpg;VCS-186;VCS-186;1.0;✅
1755805788_0.91_(48, 98, 3)_CRG-314.jpg;CRG-314;CRG-314;1.0;✅
1755805904_0.92_(118, 124, 3)_V2X-710.jpg;V2X-710;N2X-710;0.857;❌
1755806062_0.9_(47, 95, 3)_BKQ-659.jpg;BKQ-659;BKQ-659;1.0;✅
1755806111_0.9_(49, 97, 3)_Z7F-621.jpg;Z7F-621;Z7F-621;1.0;✅
1755806151_0.91_(47, 98, 3)_Z5J-577.jpg;Z5J-577;Z5J-577;1.0;✅
1755806181_0.9_(41, 100, 3)_VAQ-104.jpg;VAQ-104;VAQ-104;1.0;✅
1755806233_0.9_(49, 96, 3)_BWQ-500.jpg;BWQ-500;BHQ-500;0.857;❌
1755806243_0.91_(58, 110, 3)_Z7U-178.jpg;Z7U-178;Z7u-178;0.857;❌
1755806300_0.9_(50, 101, 3)_AOT-720.jpg;A0T-720;AOT-720;0.857;❌
1755806301_0.9_(53, 110, 3)_A0T-720.jpg;A0T-720;AOT-720;0.857;❌
1755806307_0.9_(45, 91, 3)_T4M-134.jpg;T4M-134;T4M-134;1.0;✅
1755806406_0.9_(47, 101, 3)_A4S-720.jpg;A4S-720;A4S-720;1.0;✅
1755806558_0.9_(60, 116, 3)_ABU-720.jpg;ABU-720;ABU-720;1.0;✅
1755806583_0.9_(58, 110, 3)_Z7H-075.jpg;Z7H-075;Z7H-075;1.0;✅
1755806706_0.9_(45, 96, 3)_V71-023.jpg;V7I-023;V71-023;0.857;❌
1755806714_0.91_(46, 100, 3)_A4S-720.jpg;A4S-720;A4S-720;1.0;✅
1755806796_0.91_(44, 92, 3)_Z70-399.jpg;Z7O-399;Z70-399;0.857;❌
1755806835_0.9_(50, 100, 3)_D7W-870.jpg;D7W-870;D7W-870;1.0;✅
1755806839_0.91_(53, 104, 3)_Z2P-320.jpg;Z2P-320;Z2P-320;1.0;✅
1755806845_0.91_(44, 98, 3)_A3C-786.jpg;A3C-786;A3C-786;1.0;✅
1755806849_0.92_(49, 98, 3)_Z7P-354.jpg;Z7P-354;Z7P-354;1.0;✅
1755806852_0.91_(66, 114, 3)_VBA-422.jpg;VBA-422;VBA-422;1.0;✅
1755806868_0.9_(46, 91, 3)_ACL-585.jpg;ACL-585;ACL-585;1.0;✅
1755806984_0.9_(45, 92, 3)_Z5Z-532.jpg;Z5Z-532;Z5Z-532;1.0;✅
1755807008_0.91_(44, 97, 3)_BEP-534.jpg;BEP-534;BEP-534;1.0;✅
1755807086_0.91_(45, 90, 3)_Z4Y-618.jpg;Z4Y-618;Z4Y-618;1.0;✅
1755807186_0.9_(47, 95, 3)_Z7M-595.jpg;Z7M-595;Z7M-595;1.0;✅
1755807199_0.9_(46, 102, 3)_A5U-739.jpg;A5U-739;A5U-739;1.0;✅
1755807204_0.9_(43, 89, 3)_M4B-467.jpg;M4B-467;M4B-467;1.0;✅
1755807211_0.9_(44, 96, 3)_BEP-534.jpg;BEP-534;BEP-534;1.0;✅
1755807470_0.91_(141, 148, 3)_A5U-739.jpg;A5U-739;A5U-739;1.0;✅
1755807617_0.9_(56, 111, 3)_45K-770.jpg;45K-770;45K-770;1.0;✅
1755807852_0.91_(53, 108, 3)_Z6W-329.jpg;Z6W-329;Z6W-329;1.0;✅
1755807884_0.9_(52, 101, 3)_Z2Q-021.jpg;Z2Q-021;Z2Q-021;1.0;✅
1755807907_0.9_(52, 99, 3)_C6M-147.jpg;C6M-147;C6M-147;1.0;✅
1755808117_0.9_(49, 100, 3)_Z1I-540.jpg;Z1I-540;Z1I-540;1.0;✅
1755808131_0.92_(45, 93, 3)_ANG-059.jpg;ANG-059;ANG-059;1.0;✅
1755808144_0.9_(46, 94, 3)_Z2Q-021.jpg;Z2Q-021;Z2Q-021;1.0;✅
1755808175_0.91_(44, 89, 3)_F8Q-278.jpg;F8Q-278;F8Q-278;1.0;✅
1755808300_0.9_(46, 91, 3)_AK1-784.jpg;AKI-784;AK1-784;0.857;❌
1755808414_0.9_(59, 111, 3)_F8Q-278.jpg;F8Q-278;F8Q-278;1.0;✅
1755808461_0.91_(62, 116, 3)_CBA-659.jpg;CBA-659;CBA-659;1.0;✅
1755808464_0.9_(50, 104, 3)_BUY-632.jpg;BUY-632;BUY-632;1.0;✅
1755808477_0.91_(46, 95, 3)_BHB-015.jpg;BHB-015;BHB-015;1.0;✅
1755808763_0.9_(54, 105, 3)_V5B-631.jpg;V5B-631;V5B-631;1.0;✅
1755808937_0.91_(46, 96, 3)_V8Y-171.jpg;V8Y-171;V8Y-171;1.0;✅
1755808962_0.9_(46, 91, 3)_Z1T-535.jpg;Z1T-535;Z1T-535;1.0;✅
1755809021_0.9_(53, 108, 3)_Z40-588.jpg;Z4O-588;Z40-588;0.857;❌
1755809037_0.9_(61, 113, 3)_Z2N-738.jpg;Z2N-738;Z2N-738;1.0;✅
1755809250_0.9_(51, 99, 3)_S1B-772.jpg;S1B-772;S1B-772;1.0;✅
1755809492_0.9_(38, 97, 3)_S1B-772.jpg;S1B-772;S1B-772;1.0;✅
1755809743_0.9_(47, 93, 3)_Z11-272.jpg;Z1I-272;Z11-272;0.857;❌
1755809784_0.91_(49, 100, 3)_Z7B-669.jpg;Z7B-669;Z7B-669;1.0;✅
1755809796_0.91_(121, 126, 3)_Z1J-781.jpg;Z1J-781;Z1J-781;1.0;✅
1755809798_0.91_(46, 99, 3)_BXU-498.jpg;BXU-498;BXU-498;1.0;✅
1755810071_0.9_(47, 99, 3)_F1N-370.jpg;F1N-370;F1N-370;1.0;✅
1755810077_0.9_(46, 97, 3)_Z6V-660.jpg;Z6V-660;Z6V-660;1.0;✅
1755810245_0.9_(48, 95, 3)_BJU-400.jpg;BJU-400;BJU-400;1.0;✅
1755810246_0.9_(52, 98, 3)_BJL-400.jpg;BJU-400;BJL-400;0.857;❌
1755810458_0.91_(50, 91, 3)_A2H-716.jpg;A2H-716;A2H-716;1.0;✅
1755810751_0.91_(42, 93, 3)_BKQ-659.jpg;BKQ-659;BKQ-659;1.0;✅
1755810833_0.9_(40, 90, 3)_Z5D-490.jpg;Z5D-490;Z5D-490;1.0;✅
1755810848_0.9_(64, 109, 3)_AJV-939.jpg;AJV-939;AJV-939;1.0;✅
1755810946_0.91_(51, 99, 3)_Z5H-549.jpg;Z5W-549;Z5H-549;0.857;❌
1755811078_0.9_(49, 99, 3)_D1I-153.jpg;D1I-153;D11-153;0.857;❌
1755811276_0.91_(45, 97, 3)_Z1H-700.jpg;Z1H-700;Z1H-700;1.0;✅
1755811522_0.9_(46, 93, 3)_Z5D-172.jpg;Z5D-172;Z5D-172;1.0;✅
1755811526_0.91_(45, 93, 3)_Z1H-700.jpg;Z1H-700;Z1H-700;1.0;✅
1755812430_0.9_(63, 118, 3)_B3W-759.jpg;B3W-759;B3W-759;1.0;✅
1755812435_0.9_(56, 114, 3)_ASD-757.jpg;A8D-757;ASI-757;0.714;❌
1755812550_0.91_(55, 108, 3)_Z2Q-310.jpg;Z2Q-310;Z2Q-310;1.0;✅
1755812560_0.9_(47, 95, 3)_F9L-089.jpg;F9L-089;F9L-089;1.0;✅
